fare_id,price,currency_type,payment_method,transfers,agency_id
1,0.65,EUR,0,0,295
2,1.05,EUR,0,0,295
3,2.15,EUR,0,0,295
4,1.95,EUR,0,0,295
5,2.55,EUR,0,0,295
6,1.80,EUR,0,0,295
7,1.40,EUR,0,0,295
8,1.25,EUR,0,0,295
9,0.75,EUR,0,0,295
10,1.50,EUR,0,0,295
11,2.35,EUR,0,0,295
12,0.85,EUR,0,0,295
13,0.90,EUR,0,0,295
14,1.15,EUR,0,0,295
15,2.40,EUR,0,0,295
16,0.95,EUR,0,0,295
17,2.05,EUR,0,0,295
18,1.75,EUR,0,0,295
19,2.00,EUR,0,0,295
20,1.00,EUR,0,0,295
21,1.30,EUR,0,0,295
22,1.10,EUR,0,0,295
23,2.30,EUR,0,0,295
24,1.35,EUR,0,0,295
25,2.25,EUR,0,0,295
26,1.60,EUR,0,0,295
27,2.10,EUR,0,0,295
28,2.20,EUR,0,0,295
29,1.90,EUR,0,0,295
30,0.80,EUR,0,0,295
31,1.65,EUR,0,0,295
32,1.20,EUR,0,0,295
33,1.70,EUR,0,0,295
34,0.70,EUR,0,0,295
35,1.45,EUR,0,0,295
36,2.45,EUR,0,0,295
37,1.85,EUR,0,0,295
38,2.50,EUR,0,0,295
39,1.55,EUR,0,0,295
40,1.50,EUR,0,0,100047
41,3.70,EUR,0,0,60
42,1.00,EUR,0,0,60
43,1.50,EUR,0,0,31
44,1.50,EUR,0,0,50
45,1.00,EUR,0,0,50
46,1.90,EUR,0,0,50
47,1.50,EUR,0,0,60
48,1.90,EUR,0,0,60
49,2.80,EUR,0,0,295
50,3.70,EUR,0,0,295
51,4.60,EUR,0,0,295
52,5.50,EUR,0,0,50
53,4.00,EUR,0,0,50
54,6.00,EUR,0,0,50
55,2.50,EUR,0,0,50
56,7.00,EUR,0,0,50
57,4.50,EUR,0,0,50
58,3.50,EUR,0,0,50
59,6.50,EUR,0,0,50
60,5.00,EUR,0,0,50
61,3.00,EUR,0,0,50
62,2.00,EUR,0,0,50
63,7.50,EUR,0,0,50
64,2.80,EUR,0,0,50
65,3.70,EUR,0,0,50
66,1.60,EUR,0,0,317
67,3.00,EUR,0,0,317
68,0.90,EUR,0,0,317
69,4.40,EUR,0,0,317
70,2.30,EUR,0,0,317
71,3.70,EUR,0,0,317
72,5.10,EUR,0,0,317
73,10.00,EUR,0,0,50
74,8.50,EUR,0,0,50
75,7.90,EUR,0,0,50
76,7.70,EUR,0,0,50
77,3.10,EUR,0,0,50
78,5.20,EUR,0,0,50
79,7.60,EUR,0,0,50
80,5.10,EUR,0,0,50
81,8.00,EUR,0,0,50
82,3.80,EUR,0,0,50
83,2.30,EUR,0,0,50
84,4.80,EUR,0,0,50
85,4.40,EUR,0,0,50
86,2.10,EUR,0,0,50
87,1.60,EUR,0,0,50
88,3.90,EUR,0,0,50
89,8.30,EUR,0,0,50
90,4.30,EUR,0,0,50
91,5.40,EUR,0,0,50
92,2.40,EUR,0,0,50
93,5.80,EUR,0,0,50
94,2.90,EUR,0,0,50
95,3.30,EUR,0,0,50
96,3.60,EUR,0,0,50
97,2.70,EUR,0,0,50
98,0.80,EUR,0,0,317
99,1.95,EUR,0,0,317
100,1.80,EUR,0,0,317
101,0.65,EUR,0,0,317
102,1.45,EUR,0,0,317
103,0.85,EUR,0,0,317
104,0.55,EUR,0,0,317
105,4.65,EUR,0,0,317
106,2.35,EUR,0,0,317
107,3.35,EUR,0,0,317
108,3.15,EUR,0,0,317
109,1.30,EUR,0,0,317
110,1.65,EUR,0,0,317
111,4.50,EUR,0,0,317
112,1.75,EUR,0,0,317
113,1.15,EUR,0,0,317
114,0.75,EUR,0,0,317
115,0.60,EUR,0,0,317
116,2.00,EUR,0,0,317
117,4.35,EUR,0,0,317
118,0.50,EUR,0,0,317
119,2.20,EUR,0,0,317
120,3.95,EUR,0,0,317
121,1.10,EUR,0,0,317
122,3.50,EUR,0,0,317
123,3.20,EUR,0,0,317
124,0.95,EUR,0,0,317
125,1.40,EUR,0,0,317
126,3.30,EUR,0,0,317
127,0.70,EUR,0,0,317
128,3.40,EUR,0,0,317
129,0.45,EUR,0,0,317
130,2.80,EUR,0,0,317
131,2.05,EUR,0,0,317
132,4.05,EUR,0,0,317
133,0.35,EUR,0,0,317
134,0.40,EUR,0,0,317
135,2.25,EUR,0,0,317
136,2.70,EUR,0,0,317
137,3.45,EUR,0,0,317
138,3.60,EUR,0,0,317
139,1.85,EUR,0,0,317
140,2.10,EUR,0,0,317
141,1.55,EUR,0,0,317
142,2.60,EUR,0,0,317
143,1.00,EUR,0,0,317
144,4.95,EUR,0,0,317
145,2.65,EUR,0,0,317
146,3.55,EUR,0,0,317
147,1.70,EUR,0,0,317
148,4.70,EUR,0,0,317
149,4.75,EUR,0,0,317
150,4.15,EUR,0,0,317
151,1.25,EUR,0,0,317
152,3.65,EUR,0,0,317
153,1.90,EUR,0,0,317
154,3.25,EUR,0,0,317
155,1.20,EUR,0,0,317
156,2.50,EUR,0,0,317
157,3.80,EUR,0,0,317
158,2.15,EUR,0,0,317
159,3.10,EUR,0,0,317
160,2.45,EUR,0,0,317
161,2.90,EUR,0,0,317
162,3.75,EUR,0,0,317
163,2.95,EUR,0,0,317
164,2.55,EUR,0,0,317
165,1.50,EUR,0,0,317
166,3.05,EUR,0,0,317
167,2.85,EUR,0,0,317
168,2.40,EUR,0,0,317
169,4.20,EUR,0,0,317
170,1.05,EUR,0,0,317
171,4.25,EUR,0,0,317
172,4.55,EUR,0,0,317
173,2.75,EUR,0,0,317
174,3.85,EUR,0,0,317
175,3.90,EUR,0,0,317
176,4.00,EUR,0,0,317
177,1.35,EUR,0,0,317
178,4.85,EUR,0,0,317
179,4.10,EUR,0,0,317
180,4.30,EUR,0,0,317
181,4.80,EUR,0,0,317
182,5.00,EUR,0,0,317
183,4.60,EUR,0,0,317
184,5.05,EUR,0,0,317
185,4.45,EUR,0,0,317
186,4.90,EUR,0,0,317
187,4.10,EUR,0,0,60
188,3.60,EUR,0,0,60
189,7.50,EUR,0,0,60
190,1.60,EUR,0,0,60
191,4.50,EUR,0,0,60
192,5.90,EUR,0,0,60
193,3.50,EUR,0,0,60
194,5.10,EUR,0,0,60
195,2.20,EUR,0,0,60
196,6.80,EUR,0,0,60
197,6.70,EUR,0,0,60
198,3.00,EUR,0,0,60
199,4.60,EUR,0,0,60
200,2.80,EUR,0,0,60
201,4.00,EUR,0,0,60
202,3.30,EUR,0,0,60
203,2.60,EUR,0,0,60
204,4.20,EUR,0,0,60
205,3.80,EUR,0,0,60
206,2.00,EUR,0,0,60
207,3.10,EUR,0,0,60
208,1.70,EUR,0,0,60
209,4.60,EUR,0,0,50
210,5.15,EUR,0,0,317
