route_id,agency_id,route_short_name,route_long_name,route_type,route_color,competent_authority,route_desc
1f607904efa5f4076249918149265080,78,190,Võru - Põlva - Tartu,3,660000,Maanteeamet,
54edb2234887f7b5564d2a1869203593,60,25,Rdt.jaam - Bussijaam - ERM,3,de2c42,Tartu LV,
ac8dd8960e60f01054cd2e5854c4e2d0,56,37,Mustamäe - Zoo,3,de2c42,Tallinna TA,
a0d78e26f55af7de87c3edad05f03886,100043,390,Tallinn - Rakvere,3,660000,Maanteeamet,
40aaf25bb42c0d689ca980a93d3f752c,295,200,Tallinn (Maleva) - Kurna,3,094f82,Harjumaa ÜTK,
31521bb398b38318d8c0e06e8f3aa935,60,1,Bussijaam - Tammiku - Bussijaam,3,de2c42,Jõhvi linn,"Riigipühadel kehtib pühapäevane sõiduplaan<br>30-päeva pilet 20,00 eurot (www.pilet.ee)<br>5-päeva pilet 6,00 eurot (automaatne)<br>Ühekordne paberpilet bussijuhilt ostes 2,00 eurot<br>Päevapilet 2,50 eurot (automaatne)<br>Ühekordne pilet 1,00 eurot<br>Isikustatud sõidukaardiga Jõhvi valla elanikele TASUTA"
d99ef534a297da507f0623484ec56dde,60,1,Paemurru - Kangelaste - Paemurru,3,de2c42,Narva LV,
b915c7090c2d435e50fe5b5fa7a609fc,60,1,Kesklinn-Haigla-Tuulte R-Keskl-Kudj.-Nooruse-Keskv,3,de2c42,Saare MV,"Liin ei ole käigus riigipühadel"
5c4164429e5e041251a099db16e3960f,60,1,Tehase - Ranna - Kannuka - Polikliinik - Tehase,3,de2c42,Sillamäe LV,"Riigipühadel kehtib pühapäevane sõiduplaan"
82f00cbb707de581e42b137af67c479f,60,1,FI - Nõlvaku,3,de2c42,Tartu LV,"Liin on riigipühadel käigus pühapäevase sõiduplaani järgi"
c6d03d4884b9ed8b357a2728e233944b,295,1,Piira - Näpi - Piira,3,de2c42,Lääne-Viru MV,"Liin on riigipühadel käigus pühapäevase sõiduplaani järgi"
a38a34591da7785f868fa3cbebd97f1e,50,1,Merimetsa - Papiniidu - Riia mnt - Vana-Pärnu,3,de2c42,Pärnu LV,
cda11de7592968136908bb47dd8f1ef4,56,1,Viru keskus - Viimsi keskus,3,de2c42,Tallinna TA,
52568381820c2cf8f91d40048141de12,100082,1,Tolli - Tartu - Rohelise - Raekoja - Jaama - Rohelise - Tolli,3,3bb5db,Valga MV,"Laupäevadel, pühapäevadel ja riiklikel pühadel alustab liin tööd 06:44<br>Liini vaheaeg 07:54-08:28 ; 10:42-12:03 ja 19:18-19:48<br>TASULINE  LINNALIIN"
86ac740d0573abd119d42c448e75a54e,100083,1,Ardu kauplus- Mustla-Nõmme - Tarbja - Paide,3,3bb5db,Järvamaa ÜTK,"Ei ole käigus riigipühadel<br>Ei ole käigus riigipühadel<br>Alates 01.11.2022 läbib buss Sõmeru peatust reisijate olemasolul või tellimise alusel.Tellimus esitada 24 h enne lähtepeatusest väljumist telefonil 3846145."
a1ec1e417abc0a2ee37a5c91b45f40c7,60,1,Rapla raudteejaam - Rapla bussijaam,3,3bb5db,Rapla MV,
1fdf2ebcfdb170ef14ae57f58893ad54,317,1,Haapsalu - Rohuküla,3,3bb5db,Lääne MV,"TASUTA"
b48fe22da04bd9e532355c5bcfb0e06c,56,1,Kopli - Kadriorg,0,016e12,Tallinna TA,
226b298d688e3712a94112098241d121,100047,10,Männimäe - Paalalinn - Haigla - Bussijaam - Männimäe,3,de2c42,Viljandi MV,"Liin on riigipühadel käigus pühapäevase sõiduplaani järgi"
ae613439c9ac436afef59857fcdabebf,60,10,Kvissentali-Annelinn Ringtee-Rdt.jaam,3,de2c42,Tartu LV,"Liin on riigipühadel käigus pühapäevase sõiduplaani järgi"
ff8883fb2797347708de304fe3248171,50,10,Raja - Mai - Karja - Vana-Pärnu,3,de2c42,Pärnu LV,"Raja peatuses kohtumine liini nr 14 bussiga<br>Teatri peatuses kohtumine liini 14 bussiga<br>Tallinna maantee Raeküla suuna kohtumispeatus liini nr. 14 bussiga üle viidud bussijaama peatusse"
298f6bffc1ba1c098dd1b3f903a0ca8a,56,10,Väike-Õismäe - Vana-Pääsküla,3,de2c42,Tallinna TA,
83d695e5755989af6e4b1659cfc2a719,60,10,Rapla - Juuru - Järlepa - Kohila,3,3bb5db,Rapla MV,
86caeb60e6d73f21516f062af9a52eec,295,10,Rakke - Kiltsi - Väike-Maarja - Tamsalu,3,3bb5db,Lääne-Viru MV,"Liin on riigipühadel käigus pühapäevase sõiduplaani järgi"
bd2349b592f03ec3f0e35b43f5d26619,317,10,Haapsalu - Sepaküla - Ahli - Mägari - Haapsalu,3,3bb5db,Lääne MV,
739e210516ba41b83dc5a3140bda68dd,898970,100,Jõgeva - Aidu - Põltsamaa,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel"
b3d1870adee0821d2cadc077fb088a87,60,100,Kesklinn - Juba - Kesklinn,3,3bb5db,Võru MV,"Liin on käigus perioodil 01.04.2025 - 30.09.2025."
e1a0cb3f9d5e91634975bff1974d9361,50,100,Tallinn - Laagna - Maardu,3,3bb5db,Harjumaa ÜTK,
71fa0dfed515bf031ec9e0adbd74c21c,60,101,Valga - Karksi-Nuia - Viljandi - Paide - Tallinn,3,660000,Maanteeamet,
964164c50330dd6d7f62478b818b4e16,898970,101,Jõgeva - Aidu - Põltsamaa,3,3bb5db,Jõgeva ÜTK,"Käigus ka riigipühal juhul, kui riigipühale järgneb tööpäev"
76f37a15c77d13c774a04dd009936be8,295,101,Tartu - Laeva - Tabivere - Lähte - Tammistu - (Tähemaa side),3,3bb5db,Tartu MV,"Käigus 01.09.-15.06.<br>MÕRU, TAABRI, SARAPUU, AAVIKU, LONDI, PÕDRA TEE, LAANEMETSA, PUUSEPA RIST, TÄHEMAA KOOL, TÄHEMAA KAUPLUS ja TÄHEMAA SIDE peatusi teenindatakse ainult nõudmisel. Sisenemiseks ettetellimine hiljemalt kell 11:15, telefon 5213555<br>Ei ole käigus riigipühadel"
819f0761383b488b749c8d2fe67634b1,50,101,Tallinn - Maardu,3,3bb5db,Harjumaa ÜTK,
da6cbb70a3a748e800b667a30917d0e7,60,101A,Võru kesklinn - Väimela - Parksepa - Võru kesklinn,3,3bb5db,Võru MV,"Käigus koolipäevadel<br>Käigus koolipäevadel"
1910132c0163c8065a35c42b65da074a,60,101B,Võru kesklinn - Väimela - Parksepa - Võru kesklinn,3,3bb5db,Võru MV,"Käigus koolipäevadel<br>Käigus koolipäevadel"
