liin,zoo_valjumine,toompark_saabumine
8,18480,19020
8,19380,19920
21,19680,20580
8,20220,20760
41,20460,21360
8,20940,21480
21,21120,22020
8,21600,22320
41,21900,22800
8,22260,22980
21,22380,23340
8,22740,23460
41,23160,24120
8,23220,23940
8,23700,24420
21,23760,24780
8,24180,24900
41,24480,25500
8,24660,25380
21B,24960,26100
8,25200,25980
41B,25680,26760
8,25740,26520
8,26220,27000
21B,26580,27780
8,26760,27540
41,27060,28320
8,27300,28080
21B,27360,28560
8,27900,28680
21B,28080,29220
8,28440,29220
41B,28740,30000
8,29100,29880
21B,29580,30720
41,29700,30960
8,29760,30600
41B,30360,31680
8,30480,31260
8,31080,31860
21B,31080,32280
8,31680,32460
41B,31740,32940
8,32340,33120
21B,32520,33720
8,33060,33840
41B,33180,34380
8,33780,34560
21B,34020,35220
8,34560,35340
41B,34680,35820
8,35340,36120
21B,35340,36420
41B,36060,37200
8,36120,36900
21B,36720,37800
8,36900,37680
41B,37560,38700
8,37800,38580
21B,38280,39360
8,38700,39480
41B,39000,40140
8,39360,40140
21B,39720,40800
8,40200,40980
41,40260,41400
21,40920,42000
8,41040,41820
41,41640,42780
8,41880,42660
21B,42360,43440
8,42720,43500
41,42840,43980
21,43440,44520
8,43560,44340
41B,44340,45480
8,44400,45180
21,44580,45660
8,45180,45960
41,45240,46380
21B,45900,46980
8,46020,46800
41,46440,47580
8,46860,47640
21,46920,48000
8,47700,48480
41B,47820,48960
21,48120,49200
8,48540,49320
41,48780,49920
8,49380,50160
21B,49500,50580
41,50100,51240
8,50220,51060
21,50520,51600
8,51000,51840
41B,51420,52560
8,51720,52560
21,51780,52860
8,52380,53220
41,52500,53640
8,53040,53880
21B,53100,54180
41,53700,54840
8,53820,54660
21,54240,55380
8,54360,55200
8,54960,55800
41B,55260,56400
21,55440,56580
8,55560,56400
8,56160,57000
41,56280,57420
8,56820,57660
21B,57060,58140
8,57420,58320
41,57480,58620
8,58020,58920
21,58020,59160
8,58560,59460
41B,58920,60180
8,59160,60060
21,59280,60420
8,59880,60780
41,60000,61380
8,60660,61560
21B,60780,62160
41,61260,62640
8,61380,62280
21,61740,63120
8,62100,63000
8,62760,63660
41B,62820,64200
21,63000,64380
8,63420,64320
41,63780,65100
8,64080,64980
21B,64620,65880
8,64860,65760
41,65100,66300
21,65460,66660
8,65640,66540
8,66420,67200
41B,66600,67740
21,66840,68040
8,67260,68040
41,67320,68520
8,68160,68940
21B,68460,69600
41,68940,70140
8,69000,69780
21,69540,70560
8,69900,70680
41B,70440,71580
21,70680,71700
8,70800,71580
41,71520,72660
8,71640,72360
21B,72120,73140
8,72480,73200
41,72960,73980
8,73380,74100
21,73680,74640
8,74280,75000
41,74520,75480
21B,75180,76200
8,75240,75960
41,75900,76860
8,76140,76860
21,76320,77280
41,76980,78000
8,77100,77820
21,77640,78600
8,78120,78840
41,78360,79380
21,79020,79860
8,79140,79800
41,79740,80700
8,80160,80820
21,80220,81060
41,80880,81780
8,81120,81780
21,81360,82200
41,82080,82980
8,82140,82800
21,82620,83460
8,83160,83760
41,83340,84240
21,83880,84720
8,84360,84900
41,84660,85560
21,85140,85980
41,85800,86700
21,86340,87240
41,87000,87900
